date,ticker,price,volume
1/7/2025,APLA,242.21,40855.961
1/8/2025,APLA,242.7,37628.941
1/9/2025,APLA,242.7,0
1/10/2025,APLA,236.85,61710.859
1/13/2025,APLA,234.4,49630.727
1/14/2025,APLA,233.28,39435.289
1/15/2025,APLA,237.87,39831.969
1/16/2025,APLA,228.26,71759.047
1/17/2025,APLA,229.98,68488.305
1/20/2025,APLA,229.98,0
1/21/2025,APLA,222.64,98070.43
1/22/2025,APLA,223.83,64126.5
1/23/2025,APLA,223.66,60234.762
1/24/2025,APLA,222.78,54697.91
1/27/2025,APLA,229.86,94863.422
1/28/2025,APLA,238.26,75707.57
1/29/2025,APLA,239.36,45486.102
1/30/2025,APLA,237.59,55658.281
1/31/2025,APLA,236,101075.102
2/3/2025,APLA,228.01,73063.297
2/4/2025,APLA,232.8,45067.301
2/5/2025,APLA,232.47,39664.992
2/6/2025,APLA,233.22,29925.35
2/7/2025,APLA,227.63,39707.219
2/10/2025,APLA,227.65,33115.648
2/11/2025,APLA,232.62,53718.359
2/12/2025,APLA,236.87,45243.289
2/13/2025,APLA,241.53,53614.047
2/14/2025,APLA,244.6,40896.23
2/17/2025,APLA,244.6,0
2/18/2025,APLA,244.47,48822.488
2/19/2025,APLA,244.87,32204.221
2/20/2025,APLA,245.83,32316.91
2/21/2025,APLA,245.55,53197.434
2/24/2025,APLA,247.1,51326.398
2/25/2025,APLA,247.04,48013.273
2/26/2025,APLA,240.36,44433.559
2/27/2025,APLA,237.3,41153.641
2/28/2025,APLA,241.84,56833.359
3/3/2025,APLA,238.03,47183.992
3/4/2025,APLA,235.93,53798.059
3/5/2025,APLA,235.74,47227.641
3/6/2025,APLA,235.33,45170.422
3/7/2025,APLA,239.07,46273.566
3/10/2025,APLA,227.48,72071.203
3/11/2025,APLA,220.84,76137.406
3/12/2025,APLA,216.98,62547.473
3/13/2025,APLA,209.68,61368.328
3/14/2025,APLA,213.49,60107.578
3/17/2025,APLA,214,48073.434
3/18/2025,APLA,212.69,42432.434
3/19/2025,APLA,215.24,54385.391
3/20/2025,APLA,214.1,48862.953
3/21/2025,APLA,218.27,94127.766
3/24/2025,APLA,220.73,44299.48
